raw_feature_name,feature,feature_group,importance
categorical__Contract_Month-to-month,Contract_Month-to-month,categorical,0.376668731981546
numeric__tenure,tenure,numeric,0.13566737515858
numeric__TotalCharges,TotalCharges,numeric,0.09077423672434291
categorical__InternetService_Fiber optic,InternetService_Fiber optic,categorical,0.08725846136594818
numeric__MonthlyCharges,MonthlyCharges,numeric,0.07825380088550397
categorical__OnlineSecurity_No,OnlineSecurity_No,categorical,0.06568034847822507
categorical__TechSupport_No,TechSupport_No,categorical,0.04674527262553597
categorical__PaymentMethod_Electronic check,PaymentMethod_Electronic check,categorical,0.04168150642015757
categorical__PaperlessBilling_Yes,PaperlessBilling_Yes,categorical,0.012994360462293207
categorical__MultipleLines_No,MultipleLines_No,categorical,0.011212321803932815
categorical__OnlineBackup_No,OnlineBackup_No,categorical,0.009231514835312201
categorical__Contract_Two year,Contract_Two year,categorical,0.007861381868826529
categorical__StreamingMovies_Yes,StreamingMovies_Yes,categorical,0.006563615930240449
categorical__PaperlessBilling_No,PaperlessBilling_No,categorical,0.006498884948779254
numeric__SeniorCitizen,SeniorCitizen,numeric,0.005452057186438639
categorical__gender_Female,gender_Female,categorical,0.0021860857293675273
categorical__StreamingTV_Yes,StreamingTV_Yes,categorical,0.0020585818920376368
categorical__Dependents_Yes,Dependents_Yes,categorical,0.0015799965111581897
categorical__Contract_One year,Contract_One year,categorical,0.00134263115592966
categorical__gender_Male,gender_Male,categorical,0.0012594061666149898
categorical__Dependents_No,Dependents_No,categorical,0.0012533483112272465
categorical__PaymentMethod_Bank transfer (automatic),PaymentMethod_Bank transfer (automatic),categorical,0.0010449111074942235
categorical__TechSupport_Yes,TechSupport_Yes,categorical,0.0009947179445444086
categorical__MultipleLines_No phone service,MultipleLines_No phone service,categorical,0.0008761423255589823
categorical__PaymentMethod_Credit card (automatic),PaymentMethod_Credit card (automatic),categorical,0.000790493073398782
categorical__Partner_Yes,Partner_Yes,categorical,0.0007757239408489944
categorical__Partner_No,Partner_No,categorical,0.0007637218348487008
categorical__DeviceProtection_Yes,DeviceProtection_Yes,categorical,0.0005149216814794102
categorical__InternetService_DSL,InternetService_DSL,categorical,0.0005014489744080617
categorical__StreamingMovies_No,StreamingMovies_No,categorical,0.00041044448326125197
categorical__PhoneService_No,PhoneService_No,categorical,0.0003927124343063482
categorical__PaymentMethod_Mailed check,PaymentMethod_Mailed check,categorical,0.00030942656201139604
categorical__OnlineBackup_Yes,OnlineBackup_Yes,categorical,0.0001807314316398718
categorical__OnlineSecurity_Yes,OnlineSecurity_Yes,categorical,0.0001562904241437783
categorical__DeviceProtection_No,DeviceProtection_No,categorical,6.439334005766117e-05
categorical__PhoneService_Yes,PhoneService_Yes,categorical,0.0
categorical__MultipleLines_Yes,MultipleLines_Yes,categorical,0.0
categorical__TechSupport_No internet service,TechSupport_No internet service,categorical,0.0
categorical__DeviceProtection_No internet service,DeviceProtection_No internet service,categorical,0.0
categorical__OnlineBackup_No internet service,OnlineBackup_No internet service,categorical,0.0
categorical__OnlineSecurity_No internet service,OnlineSecurity_No internet service,categorical,0.0
categorical__InternetService_No,InternetService_No,categorical,0.0
categorical__StreamingMovies_No internet service,StreamingMovies_No internet service,categorical,0.0
categorical__StreamingTV_No,StreamingTV_No,categorical,0.0
categorical__StreamingTV_No internet service,StreamingTV_No internet service,categorical,0.0
