model,threshold,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,customers_flagged,churners_captured,churners_missed
gradient_boosting,0.1,0.6195883605393896,0.40625,0.9385026737967914,0.567043618739903,522,513,23,351,864,351,23
gradient_boosting,0.11,0.6330731014904187,0.41437125748502995,0.9251336898395722,0.5723738626964433,546,489,28,346,835,346,28
gradient_boosting,0.12,0.6508161816891412,0.4271604938271605,0.9251336898395722,0.5844594594594594,571,464,28,346,810,346,28
gradient_boosting,0.13,0.6593328601845281,0.43291139240506327,0.9144385026737968,0.5876288659793815,587,448,32,342,790,342,32
gradient_boosting,0.13999999999999999,0.6721078779276083,0.4424083769633508,0.9037433155080213,0.5940246045694201,609,426,36,338,764,338,36
gradient_boosting,0.14999999999999997,0.6799148332150461,0.4483221476510067,0.893048128342246,0.5969615728328865,624,411,40,334,745,334,40
gradient_boosting,0.15999999999999998,0.6848828956706884,0.4513888888888889,0.8689839572192514,0.5941499085923218,640,395,49,325,720,325,49
gradient_boosting,0.16999999999999998,0.6933995741660752,0.4584527220630373,0.8556149732620321,0.5970149253731343,657,378,54,320,698,320,54
gradient_boosting,0.17999999999999997,0.7040454222853088,0.4683357879234168,0.8502673796791443,0.603988603988604,674,361,56,318,679,318,56
gradient_boosting,0.18999999999999995,0.7125621007806955,0.4766917293233083,0.8475935828877005,0.6102021174205967,687,348,57,317,665,317,57
gradient_boosting,0.19999999999999996,0.7210787792760823,0.48545176110260335,0.8475935828877005,0.617332035053554,699,336,57,317,653,317,57
gradient_boosting,0.20999999999999996,0.7239176721078779,0.48822605965463106,0.8315508021390374,0.6152324431256182,709,326,63,311,637,311,63
gradient_boosting,0.21999999999999995,0.7317246273953159,0.4968051118210863,0.8315508021390374,0.622,720,315,63,311,626,311,63
gradient_boosting,0.22999999999999995,0.7381121362668559,0.5040916530278232,0.8235294117647058,0.6253807106598985,732,303,66,308,611,308,66
gradient_boosting,0.23999999999999994,0.7466288147622427,0.5142857142857142,0.8181818181818182,0.631578947368421,746,289,68,306,595,306,68
gradient_boosting,0.24999999999999992,0.7473385379701917,0.5155172413793103,0.7994652406417112,0.6268343815513627,754,281,75,299,580,299,75
gradient_boosting,0.2599999999999999,0.7473385379701917,0.5157342657342657,0.7887700534759359,0.6236786469344608,758,277,79,295,572,295,79
gradient_boosting,0.2699999999999999,0.7501774308019872,0.5195729537366548,0.7807486631016043,0.6239316239316239,765,270,82,292,562,292,82
gradient_boosting,0.2799999999999999,0.7544357700496807,0.5255474452554745,0.7700534759358288,0.6247288503253796,775,260,86,288,548,288,86
gradient_boosting,0.2899999999999999,0.7579843860894251,0.5306122448979592,0.7647058823529411,0.6265060240963856,782,253,88,286,539,286,88
gradient_boosting,0.29999999999999993,0.7572746628814763,0.5304182509505704,0.7459893048128342,0.62,788,247,95,279,526,279,95
gradient_boosting,0.30999999999999994,0.7601135557132718,0.5352941176470588,0.7299465240641712,0.6176470588235294,798,237,101,273,510,273,101
gradient_boosting,0.3199999999999999,0.7650816181689141,0.5430861723446894,0.7245989304812834,0.6208476517754868,807,228,103,271,499,271,103
gradient_boosting,0.32999999999999985,0.7686302342086586,0.5487804878048781,0.7219251336898396,0.6235565819861432,813,222,104,270,492,270,104
gradient_boosting,0.33999999999999986,0.7735982966643009,0.55741127348643,0.713903743315508,0.6260257913247362,823,212,107,267,479,267,107
gradient_boosting,0.34999999999999987,0.7764371894960965,0.5626326963906582,0.7085561497326203,0.6272189349112426,829,206,109,265,471,265,109
gradient_boosting,0.3599999999999999,0.7792760823278921,0.5680345572354212,0.7032085561497327,0.6284348864994026,835,200,111,263,463,263,111
gradient_boosting,0.3699999999999999,0.7771469127040455,0.5666666666666667,0.6818181818181818,0.6189320388349514,840,195,119,255,450,255,119
gradient_boosting,0.3799999999999999,0.7806955287437899,0.5740318906605922,0.6737967914438503,0.6199261992619927,848,187,122,252,439,252,122
gradient_boosting,0.3899999999999999,0.7849538679914834,0.5835294117647059,0.6631016042780749,0.6207759699624531,858,177,126,248,425,248,126
gradient_boosting,0.3999999999999998,0.7913413768630234,0.5975609756097561,0.6550802139037433,0.625,870,165,129,245,410,245,129
gradient_boosting,0.4099999999999998,0.7913413768630234,0.6015228426395939,0.6336898395721925,0.6171875,878,157,137,237,394,237,137
gradient_boosting,0.4199999999999998,0.7955997161107168,0.6137566137566137,0.6203208556149733,0.6170212765957447,889,146,142,232,378,232,142
gradient_boosting,0.4299999999999998,0.7927608232789212,0.6108108108108108,0.6042780748663101,0.6075268817204301,891,144,148,226,370,226,148
gradient_boosting,0.43999999999999984,0.7934705464868701,0.6162464985994398,0.5882352941176471,0.6019151846785226,898,137,154,220,357,220,154
gradient_boosting,0.44999999999999984,0.7963094393186657,0.6253602305475504,0.5802139037433155,0.6019417475728155,905,130,157,217,347,217,157
gradient_boosting,0.45999999999999985,0.7984386089425124,0.6347305389221557,0.5668449197860963,0.5988700564971752,913,122,162,212,334,212,162
gradient_boosting,0.46999999999999986,0.7998580553584103,0.6419753086419753,0.5561497326203209,0.5959885386819485,919,116,166,208,324,208,166
gradient_boosting,0.47999999999999976,0.8005677785663591,0.6476190476190476,0.5454545454545454,0.5921625544267054,924,111,170,204,315,204,170
gradient_boosting,0.48999999999999977,0.8048261178140526,0.6633663366336634,0.5374331550802139,0.5937961595273265,933,102,173,201,303,201,173
gradient_boosting,0.4999999999999998,0.8048261178140526,0.6689419795221843,0.5240641711229946,0.5877061469265368,938,97,178,196,293,196,178
gradient_boosting,0.5099999999999998,0.8076650106458482,0.6845878136200717,0.5106951871657754,0.5849923430321593,947,88,183,191,279,191,183
gradient_boosting,0.5199999999999998,0.8019872249822569,0.6779026217228464,0.4839572192513369,0.5647425897035881,949,86,193,181,267,181,193
gradient_boosting,0.5299999999999998,0.8019872249822569,0.6833976833976834,0.4732620320855615,0.5592417061611374,953,82,197,177,259,177,197
gradient_boosting,0.5399999999999998,0.8005677785663591,0.6852589641434262,0.45989304812834225,0.5504,956,79,202,172,251,172,202
gradient_boosting,0.5499999999999998,0.8034066713981547,0.7046413502109705,0.446524064171123,0.546644844517185,965,70,207,167,237,167,207
gradient_boosting,0.5599999999999997,0.8026969481902059,0.7105263157894737,0.43315508021390375,0.5382059800664452,969,66,212,162,228,162,212
gradient_boosting,0.5699999999999997,0.8041163946061036,0.7247706422018348,0.42245989304812837,0.5337837837837838,975,60,216,158,218,158,216
gradient_boosting,0.5799999999999997,0.8034066713981547,0.7365853658536585,0.4037433155080214,0.5215889464594128,981,54,223,151,205,151,223
gradient_boosting,0.5899999999999997,0.7998580553584103,0.7395833333333334,0.37967914438502676,0.5017667844522968,985,50,232,142,192,142,232
gradient_boosting,0.5999999999999998,0.7998580553584103,0.7473118279569892,0.3716577540106952,0.49642857142857144,988,47,235,139,186,139,235
gradient_boosting,0.6099999999999998,0.7977288857345636,0.7486033519553073,0.3582887700534759,0.484629294755877,990,45,240,134,179,134,240
gradient_boosting,0.6199999999999998,0.794889992902768,0.7485380116959064,0.3422459893048128,0.46972477064220186,992,43,246,128,171,128,246
gradient_boosting,0.6299999999999997,0.7892122072391767,0.7421383647798742,0.3155080213903743,0.4427767354596623,994,41,256,118,159,118,256
gradient_boosting,0.6399999999999997,0.7877927608232789,0.7483443708609272,0.30213903743315507,0.43047619047619046,997,38,261,113,151,113,261
gradient_boosting,0.6499999999999997,0.78708303761533,0.75,0.2967914438502674,0.42528735632183906,998,37,263,111,148,111,263
gradient_boosting,0.6599999999999997,0.78708303761533,0.7605633802816901,0.2887700534759358,0.4186046511627907,1001,34,266,108,142,108,266
gradient_boosting,0.6699999999999997,0.7877927608232789,0.7777777777777778,0.2807486631016043,0.412573673870334,1005,30,269,105,135,105,269
gradient_boosting,0.6799999999999997,0.7863733144073811,0.792,0.2647058823529412,0.3967935871743487,1009,26,275,99,125,99,275
gradient_boosting,0.6899999999999997,0.78708303761533,0.8083333333333333,0.25935828877005346,0.39271255060728744,1012,23,277,97,120,97,277
gradient_boosting,0.6999999999999996,0.7821149751596878,0.7964601769911505,0.24064171122994651,0.36960985626283366,1012,23,284,90,113,90,284
gradient_boosting,0.7099999999999996,0.7792760823278921,0.794392523364486,0.22727272727272727,0.35343035343035345,1013,22,289,85,107,85,289
gradient_boosting,0.7199999999999996,0.7735982966643009,0.7835051546391752,0.20320855614973263,0.3227176220806794,1014,21,298,76,97,76,298
gradient_boosting,0.7299999999999996,0.7721788502484032,0.797752808988764,0.18983957219251338,0.30669546436285094,1017,18,303,71,89,71,303
gradient_boosting,0.7399999999999997,0.7714691270404542,0.7954545454545454,0.18716577540106952,0.30303030303030304,1017,18,304,70,88,70,304
gradient_boosting,0.7499999999999997,0.7693399574166075,0.7951807228915663,0.17647058823529413,0.2888402625820569,1018,17,308,66,83,66,308
gradient_boosting,0.7599999999999997,0.7700496806245565,0.8205128205128205,0.1711229946524064,0.2831858407079646,1021,14,310,64,78,64,310
gradient_boosting,0.7699999999999997,0.7672107877927609,0.8108108108108109,0.16042780748663102,0.26785714285714285,1021,14,314,60,74,60,314
gradient_boosting,0.7799999999999997,0.765791341376863,0.8055555555555556,0.15508021390374332,0.2600896860986547,1021,14,316,58,72,58,316
gradient_boosting,0.7899999999999996,0.7636621717530163,0.7971014492753623,0.14705882352941177,0.24830699774266365,1021,14,319,55,69,55,319
gradient_boosting,0.7999999999999996,0.7608232789212207,0.8032786885245902,0.13101604278074866,0.22528735632183908,1023,12,325,49,61,49,325
gradient_boosting,0.8099999999999996,0.7608232789212207,0.8032786885245902,0.13101604278074866,0.22528735632183908,1023,12,325,49,61,49,325
gradient_boosting,0.8199999999999996,0.7579843860894251,0.8113207547169812,0.11497326203208556,0.20140515222482436,1025,10,331,43,53,43,331
gradient_boosting,0.8299999999999996,0.7579843860894251,0.8367346938775511,0.10962566844919786,0.1938534278959811,1027,8,333,41,49,41,333
gradient_boosting,0.8399999999999996,0.7558552164655784,0.8947368421052632,0.09090909090909091,0.1650485436893204,1031,4,340,34,38,34,340
gradient_boosting,0.8499999999999996,0.7537260468417317,0.9090909090909091,0.08021390374331551,0.14742014742014742,1032,3,344,30,33,30,344
gradient_boosting,0.8599999999999995,0.7473385379701917,0.95,0.05080213903743316,0.09644670050761421,1034,1,355,19,20,19,355
gradient_boosting,0.8699999999999996,0.7437899219304471,0.9333333333333333,0.0374331550802139,0.07197943444730077,1034,1,360,14,15,14,360
gradient_boosting,0.8799999999999996,0.7416607523066004,0.9166666666666666,0.029411764705882353,0.05699481865284974,1034,1,363,11,12,11,363
gradient_boosting,0.8899999999999996,0.7402413058907026,1.0,0.0213903743315508,0.041884816753926704,1035,0,366,8,8,8,366
gradient_boosting,0.8999999999999996,0.7366926898509581,1.0,0.008021390374331552,0.015915119363395226,1035,0,371,3,3,3,371
